INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2021-07-01T17:00:00-00:00,2021-07-01T18:00:00-00:00,2021-07-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,33.96002,1
2021-07-01T16:00:00-00:00,2021-07-01T17:00:00-00:00,2021-07-01,10,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,34.00305,1
2021-07-02T01:00:00-00:00,2021-07-02T02:00:00-00:00,2021-07-01,19,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,69.52075,1
2021-07-01T10:00:00-00:00,2021-07-01T11:00:00-00:00,2021-07-01,4,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,42.59024,1
2021-07-02T00:00:00-00:00,2021-07-02T01:00:00-00:00,2021-07-01,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,55.9439,1
2021-07-01T11:00:00-00:00,2021-07-01T12:00:00-00:00,2021-07-01,5,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,43.90766,1
2021-07-01T20:00:00-00:00,2021-07-01T21:00:00-00:00,2021-07-01,14,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,46.02037,1
2021-07-01T07:00:00-00:00,2021-07-01T08:00:00-00:00,2021-07-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,48.13374,1
2021-07-01T14:00:00-00:00,2021-07-01T15:00:00-00:00,2021-07-01,8,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,35.66297,1
2021-07-01T21:00:00-00:00,2021-07-01T22:00:00-00:00,2021-07-01,15,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,46.52525,1
2021-07-01T23:00:00-00:00,2021-07-02T00:00:00-00:00,2021-07-01,17,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,47.82636,1
2021-07-02T02:00:00-00:00,2021-07-02T03:00:00-00:00,2021-07-01,20,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,85,1
2021-07-01T19:00:00-00:00,2021-07-01T20:00:00-00:00,2021-07-01,13,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,41.09555,1
2021-07-01T22:00:00-00:00,2021-07-01T23:00:00-00:00,2021-07-01,16,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,46.72913,1
2021-07-02T06:00:00-00:00,2021-07-02T07:00:00-00:00,2021-07-01,24,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,46.85152,1
2021-07-01T09:00:00-00:00,2021-07-01T10:00:00-00:00,2021-07-01,3,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,44.11174,1
2021-07-01T12:00:00-00:00,2021-07-01T13:00:00-00:00,2021-07-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,46.15217,1
2021-07-01T15:00:00-00:00,2021-07-01T16:00:00-00:00,2021-07-01,9,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,32.59834,1
2021-07-01T08:00:00-00:00,2021-07-01T09:00:00-00:00,2021-07-01,2,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,45.92265,1
2021-07-01T13:00:00-00:00,2021-07-01T14:00:00-00:00,2021-07-01,7,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,47.56761,1
2021-07-02T03:00:00-00:00,2021-07-02T04:00:00-00:00,2021-07-01,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,74.7497,1
2021-07-02T04:00:00-00:00,2021-07-02T05:00:00-00:00,2021-07-01,22,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,69.30721,1
2021-07-02T05:00:00-00:00,2021-07-02T06:00:00-00:00,2021-07-01,23,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,51.18698,1
2021-07-01T18:00:00-00:00,2021-07-01T19:00:00-00:00,2021-07-01,12,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,36.47935,1
2021-07-01T17:00:00-00:00,2021-07-01T18:00:00-00:00,2021-07-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,-1.86069,2
2021-07-01T19:00:00-00:00,2021-07-01T20:00:00-00:00,2021-07-01,13,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-07-02T02:00:00-00:00,2021-07-02T03:00:00-00:00,2021-07-01,20,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-07-02T00:00:00-00:00,2021-07-02T01:00:00-00:00,2021-07-01,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-07-01T12:00:00-00:00,2021-07-01T13:00:00-00:00,2021-07-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
