INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2021-06-01T16:00:00-00:00,2021-06-01T17:00:00-00:00,2021-06-01,10,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,35.17542,1
2021-06-01T12:00:00-00:00,2021-06-01T13:00:00-00:00,2021-06-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,41.23315,1
2021-06-01T22:00:00-00:00,2021-06-01T23:00:00-00:00,2021-06-01,16,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,50.06486,1
2021-06-01T07:00:00-00:00,2021-06-01T08:00:00-00:00,2021-06-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,42.7313,1
2021-06-01T09:00:00-00:00,2021-06-01T10:00:00-00:00,2021-06-01,3,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,38.11699,1
2021-06-01T10:00:00-00:00,2021-06-01T11:00:00-00:00,2021-06-01,4,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,37.85608,1
2021-06-02T03:00:00-00:00,2021-06-02T04:00:00-00:00,2021-06-01,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,123.73511,1
2021-06-02T06:00:00-00:00,2021-06-02T07:00:00-00:00,2021-06-01,24,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,46.02691,1
2021-06-01T15:00:00-00:00,2021-06-01T16:00:00-00:00,2021-06-01,9,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,36.23178,1
2021-06-01T17:00:00-00:00,2021-06-01T18:00:00-00:00,2021-06-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,34.76467,1
