INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2021-09-01T14:00:00-00:00,2021-09-01T15:00:00-00:00,2021-09-01,8,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,54.71838,1
2021-09-01T09:00:00-00:00,2021-09-01T10:00:00-00:00,2021-09-01,3,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,49.04349,1
2021-09-02T00:00:00-00:00,2021-09-02T01:00:00-00:00,2021-09-01,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,58.2414,1
2021-09-02T04:00:00-00:00,2021-09-02T05:00:00-00:00,2021-09-01,22,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,60.71279,1
2021-09-01T16:00:00-00:00,2021-09-01T17:00:00-00:00,2021-09-01,10,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,44.38406,1
2021-09-01T10:00:00-00:00,2021-09-01T11:00:00-00:00,2021-09-01,4,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,48.45282,1
2021-09-01T11:00:00-00:00,2021-09-01T12:00:00-00:00,2021-09-01,5,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,50.37799,1
2021-09-01T12:00:00-00:00,2021-09-01T13:00:00-00:00,2021-09-01,6,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,54.46065,1
2021-09-01T13:00:00-00:00,2021-09-01T14:00:00-00:00,2021-09-01,7,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,60.14015,1
2021-09-01T15:00:00-00:00,2021-09-01T16:00:00-00:00,2021-09-01,9,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,45.08685,1
2021-09-01T20:00:00-00:00,2021-09-01T21:00:00-00:00,2021-09-01,14,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,42.29032,1
2021-09-02T02:00:00-00:00,2021-09-02T03:00:00-00:00,2021-09-01,20,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,83.36161,1
2021-09-02T06:00:00-00:00,2021-09-02T07:00:00-00:00,2021-09-01,24,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,52.62003,1
2021-09-02T01:00:00-00:00,2021-09-02T02:00:00-00:00,2021-09-01,19,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,75.23316,1
2021-09-02T03:00:00-00:00,2021-09-02T04:00:00-00:00,2021-09-01,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,67.33749,1
2021-09-01T21:00:00-00:00,2021-09-01T22:00:00-00:00,2021-09-01,15,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,44.44103,1
2021-09-01T23:00:00-00:00,2021-09-02T00:00:00-00:00,2021-09-01,17,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,49.39338,1
2021-09-01T08:00:00-00:00,2021-09-01T09:00:00-00:00,2021-09-01,2,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,50.48582,1
2021-09-02T05:00:00-00:00,2021-09-02T06:00:00-00:00,2021-09-01,23,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,54.8909,1
2021-09-01T18:00:00-00:00,2021-09-01T19:00:00-00:00,2021-09-01,12,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,37.41264,1
2021-09-01T19:00:00-00:00,2021-09-01T20:00:00-00:00,2021-09-01,13,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,40.01163,1
2021-09-01T22:00:00-00:00,2021-09-01T23:00:00-00:00,2021-09-01,16,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,46.94809,1
2021-09-01T07:00:00-00:00,2021-09-01T08:00:00-00:00,2021-09-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,52.08258,1
2021-09-01T17:00:00-00:00,2021-09-01T18:00:00-00:00,2021-09-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,LMP,LMP_PRC,IRONMTN_2_N001,ALL,1,42.19847,1
2021-09-01T23:00:00-00:00,2021-09-02T00:00:00-00:00,2021-09-01,17,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-02T00:00:00-00:00,2021-09-02T01:00:00-00:00,2021-09-01,18,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-01T20:00:00-00:00,2021-09-01T21:00:00-00:00,2021-09-01,14,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-01T22:00:00-00:00,2021-09-01T23:00:00-00:00,2021-09-01,16,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-01T09:00:00-00:00,2021-09-01T10:00:00-00:00,2021-09-01,3,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-01T10:00:00-00:00,2021-09-01T11:00:00-00:00,2021-09-01,4,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-02T03:00:00-00:00,2021-09-02T04:00:00-00:00,2021-09-01,21,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-02T04:00:00-00:00,2021-09-02T05:00:00-00:00,2021-09-01,22,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-01T07:00:00-00:00,2021-09-01T08:00:00-00:00,2021-09-01,1,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-02T05:00:00-00:00,2021-09-02T06:00:00-00:00,2021-09-01,23,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-01T17:00:00-00:00,2021-09-01T18:00:00-00:00,2021-09-01,11,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-01T08:00:00-00:00,2021-09-01T09:00:00-00:00,2021-09-01,2,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-01T13:00:00-00:00,2021-09-01T14:00:00-00:00,2021-09-01,7,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-01T11:00:00-00:00,2021-09-01T12:00:00-00:00,2021-09-01,5,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-02T06:00:00-00:00,2021-09-02T07:00:00-00:00,2021-09-01,24,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
2021-09-01T14:00:00-00:00,2021-09-01T15:00:00-00:00,2021-09-01,8,0,IRONMTN_2_N001,IRONMTN_2_N001,IRONMTN_2_N001,DAM,MCC,LMP_CONG_PRC,IRONMTN_2_N001,ALL,1,0,2
