intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-04-01T07:00:00Z,2021-04-01T08:00:00Z,2021-04-01,1,IRONMTN_2_N001,LMP,36.02165
2021-04-02T06:00:00Z,2021-04-02T07:00:00Z,2021-04-01,24,IRONMTN_2_N001,LMP,37.70806
2021-04-01T12:00:00Z,2021-04-01T13:00:00Z,2021-04-01,6,IRONMTN_2_N001,LMP,36.67406
2021-04-01T13:00:00Z,2021-04-01T14:00:00Z,2021-04-01,7,IRONMTN_2_N001,LMP,41.69855
2021-04-02T04:00:00Z,2021-04-02T05:00:00Z,2021-04-01,22,IRONMTN_2_N001,LMP,47.0814
2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,2021-04-01,18,IRONMTN_2_N001,LMP,39.95886
2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,2021-04-01,20,IRONMTN_2_N001,LMP,84.99538
2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,2021-04-01,21,IRONMTN_2_N001,LMP,62.01937
2021-04-01T18:00:00Z,2021-04-01T19:00:00Z,2021-04-01,12,IRONMTN_2_N001,LMP,16.01854
2021-04-01T21:00:00Z,2021-04-01T22:00:00Z,2021-04-01,15,IRONMTN_2_N001,LMP,23.54681
2021-04-01T09:00:00Z,2021-04-01T10:00:00Z,2021-04-01,3,IRONMTN_2_N001,LMP,31.82051
2021-04-01T10:00:00Z,2021-04-01T11:00:00Z,2021-04-01,4,IRONMTN_2_N001,LMP,30.98636
2021-04-01T16:00:00Z,2021-04-01T17:00:00Z,2021-04-01,10,IRONMTN_2_N001,LMP,21.43827
2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,2021-04-01,17,IRONMTN_2_N001,LMP,29.4668
2021-04-01T20:00:00Z,2021-04-01T21:00:00Z,2021-04-01,14,IRONMTN_2_N001,LMP,18.9461
2021-04-01T22:00:00Z,2021-04-01T23:00:00Z,2021-04-01,16,IRONMTN_2_N001,LMP,25.69551
2021-04-01T17:00:00Z,2021-04-01T18:00:00Z,2021-04-01,11,IRONMTN_2_N001,LMP,15.93408
2021-04-01T11:00:00Z,2021-04-01T12:00:00Z,2021-04-01,5,IRONMTN_2_N001,LMP,32.90825
2021-04-01T14:00:00Z,2021-04-01T15:00:00Z,2021-04-01,8,IRONMTN_2_N001,LMP,38.26304
2021-04-01T19:00:00Z,2021-04-01T20:00:00Z,2021-04-01,13,IRONMTN_2_N001,LMP,15.92436
2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,2021-04-01,19,IRONMTN_2_N001,LMP,63.9038
2021-04-01T15:00:00Z,2021-04-01T16:00:00Z,2021-04-01,9,IRONMTN_2_N001,LMP,27.53711
2021-04-02T05:00:00Z,2021-04-02T06:00:00Z,2021-04-01,23,IRONMTN_2_N001,LMP,40.749
2021-04-01T08:00:00Z,2021-04-01T09:00:00Z,2021-04-01,2,IRONMTN_2_N001,LMP,33.98661
2021-04-03T03:00:00Z,2021-04-03T04:00:00Z,2021-04-02,21,IRONMTN_2_N001,LMP,47.94262
2021-04-02T19:00:00Z,2021-04-02T20:00:00Z,2021-04-02,13,IRONMTN_2_N001,LMP,14.46989
2021-04-03T05:00:00Z,2021-04-03T06:00:00Z,2021-04-02,23,IRONMTN_2_N001,LMP,39.61457
2021-04-02T15:00:00Z,2021-04-02T16:00:00Z,2021-04-02,9,IRONMTN_2_N001,LMP,23.79033
2021-04-03T00:00:00Z,2021-04-03T01:00:00Z,2021-04-02,18,IRONMTN_2_N001,LMP,30.91503
2021-04-02T14:00:00Z,2021-04-02T15:00:00Z,2021-04-02,8,IRONMTN_2_N001,LMP,37.74036
2021-04-02T21:00:00Z,2021-04-02T22:00:00Z,2021-04-02,15,IRONMTN_2_N001,LMP,15.56091
2021-04-02T20:00:00Z,2021-04-02T21:00:00Z,2021-04-02,14,IRONMTN_2_N001,LMP,16.3713
2021-04-02T16:00:00Z,2021-04-02T17:00:00Z,2021-04-02,10,IRONMTN_2_N001,LMP,19.79329
2021-04-02T10:00:00Z,2021-04-02T11:00:00Z,2021-04-02,4,IRONMTN_2_N001,LMP,31.06265
2021-04-03T04:00:00Z,2021-04-03T05:00:00Z,2021-04-02,22,IRONMTN_2_N001,LMP,44.77718
2021-04-02T09:00:00Z,2021-04-02T10:00:00Z,2021-04-02,3,IRONMTN_2_N001,LMP,32.10148
2021-04-02T07:00:00Z,2021-04-02T08:00:00Z,2021-04-02,1,IRONMTN_2_N001,LMP,36.77773
2021-04-02T23:00:00Z,2021-04-03T00:00:00Z,2021-04-02,17,IRONMTN_2_N001,LMP,25.1334
2021-04-02T22:00:00Z,2021-04-02T23:00:00Z,2021-04-02,16,IRONMTN_2_N001,LMP,18.46797
2021-04-03T02:00:00Z,2021-04-03T03:00:00Z,2021-04-02,20,IRONMTN_2_N001,LMP,60.96788
2021-04-03T01:00:00Z,2021-04-03T02:00:00Z,2021-04-02,19,IRONMTN_2_N001,LMP,44.97185
2021-04-02T12:00:00Z,2021-04-02T13:00:00Z,2021-04-02,6,IRONMTN_2_N001,LMP,37.33203
2021-04-02T18:00:00Z,2021-04-02T19:00:00Z,2021-04-02,12,IRONMTN_2_N001,LMP,13.83265
2021-04-03T06:00:00Z,2021-04-03T07:00:00Z,2021-04-02,24,IRONMTN_2_N001,LMP,37.27319
2021-04-02T13:00:00Z,2021-04-02T14:00:00Z,2021-04-02,7,IRONMTN_2_N001,LMP,40.85451
2021-04-02T08:00:00Z,2021-04-02T09:00:00Z,2021-04-02,2,IRONMTN_2_N001,LMP,35.21922
2021-04-02T11:00:00Z,2021-04-02T12:00:00Z,2021-04-02,5,IRONMTN_2_N001,LMP,32.15405
2021-04-02T17:00:00Z,2021-04-02T18:00:00Z,2021-04-02,11,IRONMTN_2_N001,LMP,15.2813
2021-04-04T01:00:00Z,2021-04-04T02:00:00Z,2021-04-03,19,IRONMTN_2_N001,LMP,44.28048
2021-04-04T02:00:00Z,2021-04-04T03:00:00Z,2021-04-03,20,IRONMTN_2_N001,LMP,53.8541
2021-04-03T17:00:00Z,2021-04-03T18:00:00Z,2021-04-03,11,IRONMTN_2_N001,LMP,1.13169
2021-04-03T08:00:00Z,2021-04-03T09:00:00Z,2021-04-03,2,IRONMTN_2_N001,LMP,37.25626
2021-04-03T22:00:00Z,2021-04-03T23:00:00Z,2021-04-03,16,IRONMTN_2_N001,LMP,4.16455
2021-04-03T19:00:00Z,2021-04-03T20:00:00Z,2021-04-03,13,IRONMTN_2_N001,LMP,-0.08387
2021-04-03T21:00:00Z,2021-04-03T22:00:00Z,2021-04-03,15,IRONMTN_2_N001,LMP,1.30057
2021-04-03T20:00:00Z,2021-04-03T21:00:00Z,2021-04-03,14,IRONMTN_2_N001,LMP,-0.11461
2021-04-04T06:00:00Z,2021-04-04T07:00:00Z,2021-04-03,24,IRONMTN_2_N001,LMP,36.61997
2021-04-04T04:00:00Z,2021-04-04T05:00:00Z,2021-04-03,22,IRONMTN_2_N001,LMP,39.36262
2021-04-03T12:00:00Z,2021-04-03T13:00:00Z,2021-04-03,6,IRONMTN_2_N001,LMP,37.65238
2021-04-04T03:00:00Z,2021-04-04T04:00:00Z,2021-04-03,21,IRONMTN_2_N001,LMP,44.26686
2021-04-04T05:00:00Z,2021-04-04T06:00:00Z,2021-04-03,23,IRONMTN_2_N001,LMP,38.14927
2021-04-03T07:00:00Z,2021-04-03T08:00:00Z,2021-04-03,1,IRONMTN_2_N001,LMP,38.56007
2021-04-03T11:00:00Z,2021-04-03T12:00:00Z,2021-04-03,5,IRONMTN_2_N001,LMP,35.39937
2021-04-03T15:00:00Z,2021-04-03T16:00:00Z,2021-04-03,9,IRONMTN_2_N001,LMP,11.60636
2021-04-03T10:00:00Z,2021-04-03T11:00:00Z,2021-04-03,4,IRONMTN_2_N001,LMP,33.76771
2021-04-03T16:00:00Z,2021-04-03T17:00:00Z,2021-04-03,10,IRONMTN_2_N001,LMP,3.1412
2021-04-03T23:00:00Z,2021-04-04T00:00:00Z,2021-04-03,17,IRONMTN_2_N001,LMP,7.84044
2021-04-04T00:00:00Z,2021-04-04T01:00:00Z,2021-04-03,18,IRONMTN_2_N001,LMP,26.03139
2021-04-03T13:00:00Z,2021-04-03T14:00:00Z,2021-04-03,7,IRONMTN_2_N001,LMP,40.72141
2021-04-03T14:00:00Z,2021-04-03T15:00:00Z,2021-04-03,8,IRONMTN_2_N001,LMP,33.16025
2021-04-03T09:00:00Z,2021-04-03T10:00:00Z,2021-04-03,3,IRONMTN_2_N001,LMP,36.64159
2021-04-03T18:00:00Z,2021-04-03T19:00:00Z,2021-04-03,12,IRONMTN_2_N001,LMP,-0.09511
2021-04-04T19:00:00Z,2021-04-04T20:00:00Z,2021-04-04,13,IRONMTN_2_N001,LMP,0.02785
2021-04-04T10:00:00Z,2021-04-04T11:00:00Z,2021-04-04,4,IRONMTN_2_N001,LMP,29.03731
