intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-08-01T10:00:00Z,2021-08-01T11:00:00Z,2021-08-01,4,IRONMTN_2_N001,LMP,53.68861
2021-08-01T19:00:00Z,2021-08-01T20:00:00Z,2021-08-01,13,IRONMTN_2_N001,LMP,46.77568
2021-08-01T16:00:00Z,2021-08-01T17:00:00Z,2021-08-01,10,IRONMTN_2_N001,LMP,36.79056
2021-08-01T12:00:00Z,2021-08-01T13:00:00Z,2021-08-01,6,IRONMTN_2_N001,LMP,55.21424
2021-08-01T09:00:00Z,2021-08-01T10:00:00Z,2021-08-01,3,IRONMTN_2_N001,LMP,53.16735
2021-08-01T21:00:00Z,2021-08-01T22:00:00Z,2021-08-01,15,IRONMTN_2_N001,LMP,52.02265
2021-08-02T06:00:00Z,2021-08-02T07:00:00Z,2021-08-01,24,IRONMTN_2_N001,LMP,56.59444
2021-08-02T04:00:00Z,2021-08-02T05:00:00Z,2021-08-01,22,IRONMTN_2_N001,LMP,78.94653
2021-08-01T14:00:00Z,2021-08-01T15:00:00Z,2021-08-01,8,IRONMTN_2_N001,LMP,43.49191
2021-08-01T08:00:00Z,2021-08-01T09:00:00Z,2021-08-01,2,IRONMTN_2_N001,LMP,53.98264
2021-08-02T00:00:00Z,2021-08-02T01:00:00Z,2021-08-01,18,IRONMTN_2_N001,LMP,76.01529
2021-08-01T11:00:00Z,2021-08-01T12:00:00Z,2021-08-01,5,IRONMTN_2_N001,LMP,55.37793
2021-08-02T03:00:00Z,2021-08-02T04:00:00Z,2021-08-01,21,IRONMTN_2_N001,LMP,86.6419
2021-08-02T02:00:00Z,2021-08-02T03:00:00Z,2021-08-01,20,IRONMTN_2_N001,LMP,105.48206
2021-08-01T23:00:00Z,2021-08-02T00:00:00Z,2021-08-01,17,IRONMTN_2_N001,LMP,57.85702
2021-08-02T05:00:00Z,2021-08-02T06:00:00Z,2021-08-01,23,IRONMTN_2_N001,LMP,66.38063
2021-08-01T07:00:00Z,2021-08-01T08:00:00Z,2021-08-01,1,IRONMTN_2_N001,LMP,56.43948
2021-08-01T17:00:00Z,2021-08-01T18:00:00Z,2021-08-01,11,IRONMTN_2_N001,LMP,38.59278
2021-08-02T01:00:00Z,2021-08-02T02:00:00Z,2021-08-01,19,IRONMTN_2_N001,LMP,82.03992
2021-08-01T20:00:00Z,2021-08-01T21:00:00Z,2021-08-01,14,IRONMTN_2_N001,LMP,50.26082
2021-08-01T18:00:00Z,2021-08-01T19:00:00Z,2021-08-01,12,IRONMTN_2_N001,LMP,42.44435
2021-08-01T15:00:00Z,2021-08-01T16:00:00Z,2021-08-01,9,IRONMTN_2_N001,LMP,36.54164
2021-08-01T13:00:00Z,2021-08-01T14:00:00Z,2021-08-01,7,IRONMTN_2_N001,LMP,53.21929
2021-08-01T22:00:00Z,2021-08-01T23:00:00Z,2021-08-01,16,IRONMTN_2_N001,LMP,53.75554
2021-08-02T22:00:00Z,2021-08-02T23:00:00Z,2021-08-02,16,IRONMTN_2_N001,LMP,90.73828
2021-08-02T09:00:00Z,2021-08-02T10:00:00Z,2021-08-02,3,IRONMTN_2_N001,LMP,53.64639
2021-08-03T04:00:00Z,2021-08-03T05:00:00Z,2021-08-02,22,IRONMTN_2_N001,LMP,95.72602
2021-08-03T03:00:00Z,2021-08-03T04:00:00Z,2021-08-02,21,IRONMTN_2_N001,LMP,116.66735
2021-08-02T23:00:00Z,2021-08-03T00:00:00Z,2021-08-02,17,IRONMTN_2_N001,LMP,93.09127
2021-08-02T07:00:00Z,2021-08-02T08:00:00Z,2021-08-02,1,IRONMTN_2_N001,LMP,53.85993
2021-08-02T13:00:00Z,2021-08-02T14:00:00Z,2021-08-02,7,IRONMTN_2_N001,LMP,74.13278
2021-08-03T05:00:00Z,2021-08-03T06:00:00Z,2021-08-02,23,IRONMTN_2_N001,LMP,72.4094
