intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw,hour_ext,hour
2021-12-01T17:00:00Z,2021-12-01T18:00:00Z,2021-12-01,10,IRONMTN_2_N001,LMP,20.41016,17:00:00,18
2021-12-01T13:00:00Z,2021-12-01T14:00:00Z,2021-12-01,6,IRONMTN_2_N001,LMP,48.91069,13:00:00,14
2021-12-01T14:00:00Z,2021-12-01T15:00:00Z,2021-12-01,7,IRONMTN_2_N001,LMP,61.2348,14:00:00,15
2021-12-02T05:00:00Z,2021-12-02T06:00:00Z,2021-12-01,22,IRONMTN_2_N001,LMP,54.70276,05:00:00,6
2021-12-02T06:00:00Z,2021-12-02T07:00:00Z,2021-12-01,23,IRONMTN_2_N001,LMP,51.79406,06:00:00,7
2021-12-01T22:00:00Z,2021-12-01T23:00:00Z,2021-12-01,15,IRONMTN_2_N001,LMP,25.03968,22:00:00,23
2021-12-01T09:00:00Z,2021-12-01T10:00:00Z,2021-12-01,2,IRONMTN_2_N001,LMP,43.64986,09:00:00,10
2021-12-01T10:00:00Z,2021-12-01T11:00:00Z,2021-12-01,3,IRONMTN_2_N001,LMP,41.54593,10:00:00,11
2021-12-02T04:00:00Z,2021-12-02T05:00:00Z,2021-12-01,21,IRONMTN_2_N001,LMP,63.59733,04:00:00,5
2021-12-02T03:00:00Z,2021-12-02T04:00:00Z,2021-12-01,20,IRONMTN_2_N001,LMP,69.50303,03:00:00,4
2021-12-02T07:00:00Z,2021-12-02T08:00:00Z,2021-12-01,24,IRONMTN_2_N001,LMP,47.06709,07:00:00,8
2021-12-02T02:00:00Z,2021-12-02T03:00:00Z,2021-12-01,19,IRONMTN_2_N001,LMP,72.73,02:00:00,3
2021-12-01T15:00:00Z,2021-12-01T16:00:00Z,2021-12-01,8,IRONMTN_2_N001,LMP,41.146,15:00:00,16
2021-12-01T18:00:00Z,2021-12-01T19:00:00Z,2021-12-01,11,IRONMTN_2_N001,LMP,15.24266,18:00:00,19
2021-12-01T20:00:00Z,2021-12-01T21:00:00Z,2021-12-01,13,IRONMTN_2_N001,LMP,18.18264,20:00:00,21
2021-12-01T21:00:00Z,2021-12-01T22:00:00Z,2021-12-01,14,IRONMTN_2_N001,LMP,21.34852,21:00:00,22
2021-12-02T00:00:00Z,2021-12-02T01:00:00Z,2021-12-01,17,IRONMTN_2_N001,LMP,73.65651,00:00:00,1
2021-12-02T01:00:00Z,2021-12-02T02:00:00Z,2021-12-01,18,IRONMTN_2_N001,LMP,80.62773,01:00:00,2
2021-12-01T08:00:00Z,2021-12-01T09:00:00Z,2021-12-01,1,IRONMTN_2_N001,LMP,45.65146,08:00:00,9
2021-12-01T11:00:00Z,2021-12-01T12:00:00Z,2021-12-01,4,IRONMTN_2_N001,LMP,42.53276,11:00:00,12
2021-12-01T12:00:00Z,2021-12-01T13:00:00Z,2021-12-01,5,IRONMTN_2_N001,LMP,43.38229,12:00:00,13
2021-12-01T16:00:00Z,2021-12-01T17:00:00Z,2021-12-01,9,IRONMTN_2_N001,LMP,26.74305,16:00:00,17
2021-12-01T19:00:00Z,2021-12-01T20:00:00Z,2021-12-01,12,IRONMTN_2_N001,LMP,17.94769,19:00:00,20
2021-12-01T23:00:00Z,2021-12-02T00:00:00Z,2021-12-01,16,IRONMTN_2_N001,LMP,44.984610000000004,23:00:00,24
2021-12-03T00:00:00Z,2021-12-03T01:00:00Z,2021-12-02,17,IRONMTN_2_N001,LMP,67.0997,00:00:00,1
2021-12-02T15:00:00Z,2021-12-02T16:00:00Z,2021-12-02,8,IRONMTN_2_N001,LMP,45.12598,15:00:00,16
2021-12-02T10:00:00Z,2021-12-02T11:00:00Z,2021-12-02,3,IRONMTN_2_N001,LMP,41.84979,10:00:00,11
2021-12-02T19:00:00Z,2021-12-02T20:00:00Z,2021-12-02,12,IRONMTN_2_N001,LMP,17.50096,19:00:00,20
2021-12-02T21:00:00Z,2021-12-02T22:00:00Z,2021-12-02,14,IRONMTN_2_N001,LMP,20.27621,21:00:00,22
2021-12-02T23:00:00Z,2021-12-03T00:00:00Z,2021-12-02,16,IRONMTN_2_N001,LMP,42.93002,23:00:00,24
2021-12-03T02:00:00Z,2021-12-03T03:00:00Z,2021-12-02,19,IRONMTN_2_N001,LMP,69.04361,02:00:00,3
2021-12-03T01:00:00Z,2021-12-03T02:00:00Z,2021-12-02,18,IRONMTN_2_N001,LMP,68.75033,01:00:00,2
2021-12-02T22:00:00Z,2021-12-02T23:00:00Z,2021-12-02,15,IRONMTN_2_N001,LMP,25.3839,22:00:00,23
2021-12-03T06:00:00Z,2021-12-03T07:00:00Z,2021-12-02,23,IRONMTN_2_N001,LMP,48.90921,06:00:00,7
2021-12-02T08:00:00Z,2021-12-02T09:00:00Z,2021-12-02,1,IRONMTN_2_N001,LMP,45.40865,08:00:00,9
2021-12-02T17:00:00Z,2021-12-02T18:00:00Z,2021-12-02,10,IRONMTN_2_N001,LMP,24.18171,17:00:00,18
2021-12-03T03:00:00Z,2021-12-03T04:00:00Z,2021-12-02,20,IRONMTN_2_N001,LMP,66.6244,03:00:00,4
2021-12-02T20:00:00Z,2021-12-02T21:00:00Z,2021-12-02,13,IRONMTN_2_N001,LMP,18.17135,20:00:00,21
2021-12-03T07:00:00Z,2021-12-03T08:00:00Z,2021-12-02,24,IRONMTN_2_N001,LMP,44.3764,07:00:00,8
2021-12-02T13:00:00Z,2021-12-02T14:00:00Z,2021-12-02,6,IRONMTN_2_N001,LMP,49.01218,13:00:00,14
2021-12-02T16:00:00Z,2021-12-02T17:00:00Z,2021-12-02,9,IRONMTN_2_N001,LMP,28.59163,16:00:00,17
2021-12-02T12:00:00Z,2021-12-02T13:00:00Z,2021-12-02,5,IRONMTN_2_N001,LMP,43.4299,12:00:00,13
2021-12-02T09:00:00Z,2021-12-02T10:00:00Z,2021-12-02,2,IRONMTN_2_N001,LMP,43.80152,09:00:00,10
2021-12-03T04:00:00Z,2021-12-03T05:00:00Z,2021-12-02,21,IRONMTN_2_N001,LMP,64.07476,04:00:00,5
2021-12-03T05:00:00Z,2021-12-03T06:00:00Z,2021-12-02,22,IRONMTN_2_N001,LMP,54.66872,05:00:00,6
2021-12-02T11:00:00Z,2021-12-02T12:00:00Z,2021-12-02,4,IRONMTN_2_N001,LMP,41.82208,11:00:00,12
2021-12-02T18:00:00Z,2021-12-02T19:00:00Z,2021-12-02,11,IRONMTN_2_N001,LMP,19.30924,18:00:00,19
2021-12-02T14:00:00Z,2021-12-02T15:00:00Z,2021-12-02,7,IRONMTN_2_N001,LMP,62.46413,14:00:00,15
2021-12-03T19:00:00Z,2021-12-03T20:00:00Z,2021-12-03,12,IRONMTN_2_N001,LMP,13.92115,19:00:00,20
2021-12-03T09:00:00Z,2021-12-03T10:00:00Z,2021-12-03,2,IRONMTN_2_N001,LMP,43.25825,09:00:00,10
2021-12-04T04:00:00Z,2021-12-04T05:00:00Z,2021-12-03,21,IRONMTN_2_N001,LMP,63.563720000000004,04:00:00,5
2021-12-03T15:00:00Z,2021-12-03T16:00:00Z,2021-12-03,8,IRONMTN_2_N001,LMP,43.66167,15:00:00,16
2021-12-03T12:00:00Z,2021-12-03T13:00:00Z,2021-12-03,5,IRONMTN_2_N001,LMP,42.98406,12:00:00,13
