intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw,hour_ext,hour
2021-02-02T01:00:00Z,2021-02-02T02:00:00Z,2021-02-01,18,IRONMTN_2_N001,LMP,53.10789,01:00:00,2
2021-02-01T15:00:00Z,2021-02-01T16:00:00Z,2021-02-01,8,IRONMTN_2_N001,LMP,44.81715,15:00:00,16
2021-02-01T13:00:00Z,2021-02-01T14:00:00Z,2021-02-01,6,IRONMTN_2_N001,LMP,34.58782,13:00:00,14
2021-02-01T12:00:00Z,2021-02-01T13:00:00Z,2021-02-01,5,IRONMTN_2_N001,LMP,30.4979,12:00:00,13
2021-02-01T08:00:00Z,2021-02-01T09:00:00Z,2021-02-01,1,IRONMTN_2_N001,LMP,30.64592,08:00:00,9
2021-02-02T04:00:00Z,2021-02-02T05:00:00Z,2021-02-01,21,IRONMTN_2_N001,LMP,43.30452,04:00:00,5
2021-02-02T02:00:00Z,2021-02-02T03:00:00Z,2021-02-01,19,IRONMTN_2_N001,LMP,54.9477,02:00:00,3
2021-02-01T16:00:00Z,2021-02-01T17:00:00Z,2021-02-01,9,IRONMTN_2_N001,LMP,36.88517,16:00:00,17
2021-02-01T22:00:00Z,2021-02-01T23:00:00Z,2021-02-01,15,IRONMTN_2_N001,LMP,20.69807,22:00:00,23
2021-02-01T11:00:00Z,2021-02-01T12:00:00Z,2021-02-01,4,IRONMTN_2_N001,LMP,29.69165,11:00:00,12
2021-02-02T00:00:00Z,2021-02-02T01:00:00Z,2021-02-01,17,IRONMTN_2_N001,LMP,38.7741,00:00:00,1
2021-02-01T09:00:00Z,2021-02-01T10:00:00Z,2021-02-01,2,IRONMTN_2_N001,LMP,29.76088,09:00:00,10
2021-02-01T10:00:00Z,2021-02-01T11:00:00Z,2021-02-01,3,IRONMTN_2_N001,LMP,29.5348,10:00:00,11
2021-02-02T07:00:00Z,2021-02-02T08:00:00Z,2021-02-01,24,IRONMTN_2_N001,LMP,31.9301,07:00:00,8
2021-02-01T18:00:00Z,2021-02-01T19:00:00Z,2021-02-01,11,IRONMTN_2_N001,LMP,21.26143,18:00:00,19
2021-02-02T03:00:00Z,2021-02-02T04:00:00Z,2021-02-01,20,IRONMTN_2_N001,LMP,47.15512,03:00:00,4
2021-02-01T23:00:00Z,2021-02-02T00:00:00Z,2021-02-01,16,IRONMTN_2_N001,LMP,29.18869,23:00:00,24
2021-02-02T05:00:00Z,2021-02-02T06:00:00Z,2021-02-01,22,IRONMTN_2_N001,LMP,37.85982,05:00:00,6
2021-02-01T19:00:00Z,2021-02-01T20:00:00Z,2021-02-01,12,IRONMTN_2_N001,LMP,20.67568,19:00:00,20
2021-02-01T20:00:00Z,2021-02-01T21:00:00Z,2021-02-01,13,IRONMTN_2_N001,LMP,16.14622,20:00:00,21
2021-02-02T06:00:00Z,2021-02-02T07:00:00Z,2021-02-01,23,IRONMTN_2_N001,LMP,33.10075,06:00:00,7
2021-02-01T17:00:00Z,2021-02-01T18:00:00Z,2021-02-01,10,IRONMTN_2_N001,LMP,25.50672,17:00:00,18
2021-02-01T14:00:00Z,2021-02-01T15:00:00Z,2021-02-01,7,IRONMTN_2_N001,LMP,43.09472,14:00:00,15
2021-02-01T21:00:00Z,2021-02-01T22:00:00Z,2021-02-01,14,IRONMTN_2_N001,LMP,17.39149,21:00:00,22
2021-02-02T15:00:00Z,2021-02-02T16:00:00Z,2021-02-02,8,IRONMTN_2_N001,LMP,39.39477,15:00:00,16
2021-02-02T17:00:00Z,2021-02-02T18:00:00Z,2021-02-02,10,IRONMTN_2_N001,LMP,13.22946,17:00:00,18
2021-02-03T01:00:00Z,2021-02-03T02:00:00Z,2021-02-02,18,IRONMTN_2_N001,LMP,45.07567,01:00:00,2
2021-02-02T08:00:00Z,2021-02-02T09:00:00Z,2021-02-02,1,IRONMTN_2_N001,LMP,29.90203,08:00:00,9
2021-02-02T10:00:00Z,2021-02-02T11:00:00Z,2021-02-02,3,IRONMTN_2_N001,LMP,29.08338,10:00:00,11
2021-02-02T14:00:00Z,2021-02-02T15:00:00Z,2021-02-02,7,IRONMTN_2_N001,LMP,42.35218,14:00:00,15
2021-02-03T05:00:00Z,2021-02-03T06:00:00Z,2021-02-02,22,IRONMTN_2_N001,LMP,32.86436,05:00:00,6
2021-02-03T06:00:00Z,2021-02-03T07:00:00Z,2021-02-02,23,IRONMTN_2_N001,LMP,32.05487,06:00:00,7
2021-02-03T07:00:00Z,2021-02-03T08:00:00Z,2021-02-02,24,IRONMTN_2_N001,LMP,29.5693,07:00:00,8
2021-02-03T02:00:00Z,2021-02-03T03:00:00Z,2021-02-02,19,IRONMTN_2_N001,LMP,47.54463,02:00:00,3
2021-02-03T04:00:00Z,2021-02-03T05:00:00Z,2021-02-02,21,IRONMTN_2_N001,LMP,37.98282,04:00:00,5
2021-02-02T09:00:00Z,2021-02-02T10:00:00Z,2021-02-02,2,IRONMTN_2_N001,LMP,29.88429,09:00:00,10
2021-02-02T11:00:00Z,2021-02-02T12:00:00Z,2021-02-02,4,IRONMTN_2_N001,LMP,28.4928,11:00:00,12
2021-02-02T16:00:00Z,2021-02-02T17:00:00Z,2021-02-02,9,IRONMTN_2_N001,LMP,30.30173,16:00:00,17
2021-02-02T18:00:00Z,2021-02-02T19:00:00Z,2021-02-02,11,IRONMTN_2_N001,LMP,5.07047,18:00:00,19
2021-02-02T21:00:00Z,2021-02-02T22:00:00Z,2021-02-02,14,IRONMTN_2_N001,LMP,5.30991,21:00:00,22
2021-02-02T23:00:00Z,2021-02-03T00:00:00Z,2021-02-02,16,IRONMTN_2_N001,LMP,26.04981,23:00:00,24
2021-02-03T03:00:00Z,2021-02-03T04:00:00Z,2021-02-02,20,IRONMTN_2_N001,LMP,40.69303,03:00:00,4
2021-02-02T12:00:00Z,2021-02-02T13:00:00Z,2021-02-02,5,IRONMTN_2_N001,LMP,29.63945,12:00:00,13
2021-02-02T13:00:00Z,2021-02-02T14:00:00Z,2021-02-02,6,IRONMTN_2_N001,LMP,31.43734,13:00:00,14
2021-02-02T20:00:00Z,2021-02-02T21:00:00Z,2021-02-02,13,IRONMTN_2_N001,LMP,4.15612,20:00:00,21
2021-02-03T00:00:00Z,2021-02-03T01:00:00Z,2021-02-02,17,IRONMTN_2_N001,LMP,36.11799,00:00:00,1
2021-02-02T22:00:00Z,2021-02-02T23:00:00Z,2021-02-02,15,IRONMTN_2_N001,LMP,10.26128,22:00:00,23
2021-02-02T19:00:00Z,2021-02-02T20:00:00Z,2021-02-02,12,IRONMTN_2_N001,LMP,4.29816,19:00:00,20
2021-02-03T12:00:00Z,2021-02-03T13:00:00Z,2021-02-03,5,IRONMTN_2_N001,LMP,28.10659,12:00:00,13
2021-02-03T23:00:00Z,2021-02-04T00:00:00Z,2021-02-03,16,IRONMTN_2_N001,LMP,18.00949,23:00:00,24
2021-02-03T11:00:00Z,2021-02-03T12:00:00Z,2021-02-03,4,IRONMTN_2_N001,LMP,27.0405,11:00:00,12
2021-02-04T04:00:00Z,2021-02-04T05:00:00Z,2021-02-03,21,IRONMTN_2_N001,LMP,31.27235,04:00:00,5
2021-02-04T06:00:00Z,2021-02-04T07:00:00Z,2021-02-03,23,IRONMTN_2_N001,LMP,23.81665,06:00:00,7
2021-02-03T15:00:00Z,2021-02-03T16:00:00Z,2021-02-03,8,IRONMTN_2_N001,LMP,35.51935,15:00:00,16
2021-02-03T22:00:00Z,2021-02-03T23:00:00Z,2021-02-03,15,IRONMTN_2_N001,LMP,2.99035,22:00:00,23
2021-02-03T21:00:00Z,2021-02-03T22:00:00Z,2021-02-03,14,IRONMTN_2_N001,LMP,0.65878,21:00:00,22
2021-02-04T07:00:00Z,2021-02-04T08:00:00Z,2021-02-03,24,IRONMTN_2_N001,LMP,27.8598,07:00:00,8
2021-02-03T16:00:00Z,2021-02-03T17:00:00Z,2021-02-03,9,IRONMTN_2_N001,LMP,25.80924,16:00:00,17
2021-02-03T13:00:00Z,2021-02-03T14:00:00Z,2021-02-03,6,IRONMTN_2_N001,LMP,29.74777,13:00:00,14
2021-02-03T10:00:00Z,2021-02-03T11:00:00Z,2021-02-03,3,IRONMTN_2_N001,LMP,26.39231,10:00:00,11
2021-02-03T20:00:00Z,2021-02-03T21:00:00Z,2021-02-03,13,IRONMTN_2_N001,LMP,0.60915,20:00:00,21
2021-02-04T05:00:00Z,2021-02-04T06:00:00Z,2021-02-03,22,IRONMTN_2_N001,LMP,30.82096,05:00:00,6
2021-02-04T02:00:00Z,2021-02-04T03:00:00Z,2021-02-03,19,IRONMTN_2_N001,LMP,40.10683,02:00:00,3
2021-02-03T17:00:00Z,2021-02-03T18:00:00Z,2021-02-03,10,IRONMTN_2_N001,LMP,12.65345,17:00:00,18
2021-02-03T09:00:00Z,2021-02-03T10:00:00Z,2021-02-03,2,IRONMTN_2_N001,LMP,28.13752,09:00:00,10
2021-02-04T01:00:00Z,2021-02-04T02:00:00Z,2021-02-03,18,IRONMTN_2_N001,LMP,36.03621,01:00:00,2
2021-02-03T18:00:00Z,2021-02-03T19:00:00Z,2021-02-03,11,IRONMTN_2_N001,LMP,3.07339,18:00:00,19
2021-02-03T08:00:00Z,2021-02-03T09:00:00Z,2021-02-03,1,IRONMTN_2_N001,LMP,28.095,08:00:00,9
2021-02-04T03:00:00Z,2021-02-04T04:00:00Z,2021-02-03,20,IRONMTN_2_N001,LMP,33.62744,03:00:00,4
2021-02-03T19:00:00Z,2021-02-03T20:00:00Z,2021-02-03,12,IRONMTN_2_N001,LMP,0.94454,19:00:00,20
2021-02-03T14:00:00Z,2021-02-03T15:00:00Z,2021-02-03,7,IRONMTN_2_N001,LMP,38.97419,14:00:00,15
2021-02-04T00:00:00Z,2021-02-04T01:00:00Z,2021-02-03,17,IRONMTN_2_N001,LMP,32.55827,00:00:00,1
2021-02-04T12:00:00Z,2021-02-04T13:00:00Z,2021-02-04,5,IRONMTN_2_N001,LMP,30.25187,12:00:00,13
2021-02-05T06:00:00Z,2021-02-05T07:00:00Z,2021-02-04,23,IRONMTN_2_N001,LMP,31.82997,06:00:00,7
2021-02-04T19:00:00Z,2021-02-04T20:00:00Z,2021-02-04,12,IRONMTN_2_N001,LMP,1.31036,19:00:00,20
2021-02-04T22:00:00Z,2021-02-04T23:00:00Z,2021-02-04,15,IRONMTN_2_N001,LMP,1.87397,22:00:00,23
2021-02-04T23:00:00Z,2021-02-05T00:00:00Z,2021-02-04,16,IRONMTN_2_N001,LMP,19.81106,23:00:00,24
2021-02-04T10:00:00Z,2021-02-04T11:00:00Z,2021-02-04,3,IRONMTN_2_N001,LMP,29.08177,10:00:00,11
2021-02-04T18:00:00Z,2021-02-04T19:00:00Z,2021-02-04,11,IRONMTN_2_N001,LMP,3.45634,18:00:00,19
2021-02-04T09:00:00Z,2021-02-04T10:00:00Z,2021-02-04,2,IRONMTN_2_N001,LMP,29.19432,09:00:00,10
2021-02-04T11:00:00Z,2021-02-04T12:00:00Z,2021-02-04,4,IRONMTN_2_N001,LMP,28.58823,11:00:00,12
2021-02-04T14:00:00Z,2021-02-04T15:00:00Z,2021-02-04,7,IRONMTN_2_N001,LMP,41.26233,14:00:00,15
2021-02-04T15:00:00Z,2021-02-04T16:00:00Z,2021-02-04,8,IRONMTN_2_N001,LMP,38.32598,15:00:00,16
2021-02-04T08:00:00Z,2021-02-04T09:00:00Z,2021-02-04,1,IRONMTN_2_N001,LMP,27.81605,08:00:00,9
2021-02-04T16:00:00Z,2021-02-04T17:00:00Z,2021-02-04,9,IRONMTN_2_N001,LMP,23.56033,16:00:00,17
2021-02-04T17:00:00Z,2021-02-04T18:00:00Z,2021-02-04,10,IRONMTN_2_N001,LMP,11.08069,17:00:00,18
2021-02-05T04:00:00Z,2021-02-05T05:00:00Z,2021-02-04,21,IRONMTN_2_N001,LMP,35.57813,04:00:00,5
2021-02-05T07:00:00Z,2021-02-05T08:00:00Z,2021-02-04,24,IRONMTN_2_N001,LMP,31.27211,07:00:00,8
2021-02-04T20:00:00Z,2021-02-04T21:00:00Z,2021-02-04,13,IRONMTN_2_N001,LMP,1.04663,20:00:00,21
2021-02-04T21:00:00Z,2021-02-04T22:00:00Z,2021-02-04,14,IRONMTN_2_N001,LMP,0.83677,21:00:00,22
2021-02-05T00:00:00Z,2021-02-05T01:00:00Z,2021-02-04,17,IRONMTN_2_N001,LMP,33.31652,00:00:00,1
2021-02-05T02:00:00Z,2021-02-05T03:00:00Z,2021-02-04,19,IRONMTN_2_N001,LMP,51.48706,02:00:00,3
2021-02-05T03:00:00Z,2021-02-05T04:00:00Z,2021-02-04,20,IRONMTN_2_N001,LMP,44.22826,03:00:00,4
2021-02-04T13:00:00Z,2021-02-04T14:00:00Z,2021-02-04,6,IRONMTN_2_N001,LMP,32.87441,13:00:00,14
2021-02-05T05:00:00Z,2021-02-05T06:00:00Z,2021-02-04,22,IRONMTN_2_N001,LMP,34.48775,05:00:00,6
2021-02-05T01:00:00Z,2021-02-05T02:00:00Z,2021-02-04,18,IRONMTN_2_N001,LMP,47.18416,01:00:00,2
2021-02-05T08:00:00Z,2021-02-05T09:00:00Z,2021-02-05,1,IRONMTN_2_N001,LMP,29.43128,08:00:00,9
2021-02-05T16:00:00Z,2021-02-05T17:00:00Z,2021-02-05,9,IRONMTN_2_N001,LMP,19.93875,16:00:00,17
2021-02-06T02:00:00Z,2021-02-06T03:00:00Z,2021-02-05,19,IRONMTN_2_N001,LMP,42.26675,02:00:00,3
2021-02-05T10:00:00Z,2021-02-05T11:00:00Z,2021-02-05,3,IRONMTN_2_N001,LMP,28.5561,10:00:00,11
2021-02-05T12:00:00Z,2021-02-05T13:00:00Z,2021-02-05,5,IRONMTN_2_N001,LMP,26.45797,12:00:00,13
2021-02-05T15:00:00Z,2021-02-05T16:00:00Z,2021-02-05,8,IRONMTN_2_N001,LMP,34.94394,15:00:00,16
2021-02-05T22:00:00Z,2021-02-05T23:00:00Z,2021-02-05,15,IRONMTN_2_N001,LMP,1.85924,22:00:00,23
