intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-07-01T17:00:00Z,2021-07-01T18:00:00Z,2021-07-01,11,IRONMTN_2_N001,LMP,33.96002
2021-07-01T16:00:00Z,2021-07-01T17:00:00Z,2021-07-01,10,IRONMTN_2_N001,LMP,34.00305
2021-07-02T01:00:00Z,2021-07-02T02:00:00Z,2021-07-01,19,IRONMTN_2_N001,LMP,69.52075
2021-07-01T10:00:00Z,2021-07-01T11:00:00Z,2021-07-01,4,IRONMTN_2_N001,LMP,42.59024
2021-07-02T00:00:00Z,2021-07-02T01:00:00Z,2021-07-01,18,IRONMTN_2_N001,LMP,55.9439
2021-07-01T11:00:00Z,2021-07-01T12:00:00Z,2021-07-01,5,IRONMTN_2_N001,LMP,43.90766
2021-07-01T20:00:00Z,2021-07-01T21:00:00Z,2021-07-01,14,IRONMTN_2_N001,LMP,46.02037
2021-07-01T07:00:00Z,2021-07-01T08:00:00Z,2021-07-01,1,IRONMTN_2_N001,LMP,48.13374
2021-07-01T14:00:00Z,2021-07-01T15:00:00Z,2021-07-01,8,IRONMTN_2_N001,LMP,35.66297
2021-07-01T21:00:00Z,2021-07-01T22:00:00Z,2021-07-01,15,IRONMTN_2_N001,LMP,46.52525
2021-07-01T23:00:00Z,2021-07-02T00:00:00Z,2021-07-01,17,IRONMTN_2_N001,LMP,47.82636
2021-07-02T02:00:00Z,2021-07-02T03:00:00Z,2021-07-01,20,IRONMTN_2_N001,LMP,85
2021-07-01T19:00:00Z,2021-07-01T20:00:00Z,2021-07-01,13,IRONMTN_2_N001,LMP,41.09555
2021-07-01T22:00:00Z,2021-07-01T23:00:00Z,2021-07-01,16,IRONMTN_2_N001,LMP,46.72913
2021-07-02T06:00:00Z,2021-07-02T07:00:00Z,2021-07-01,24,IRONMTN_2_N001,LMP,46.85152
2021-07-01T09:00:00Z,2021-07-01T10:00:00Z,2021-07-01,3,IRONMTN_2_N001,LMP,44.11174
2021-07-01T12:00:00Z,2021-07-01T13:00:00Z,2021-07-01,6,IRONMTN_2_N001,LMP,46.15217
2021-07-01T15:00:00Z,2021-07-01T16:00:00Z,2021-07-01,9,IRONMTN_2_N001,LMP,32.59834
2021-07-01T08:00:00Z,2021-07-01T09:00:00Z,2021-07-01,2,IRONMTN_2_N001,LMP,45.92265
2021-07-01T13:00:00Z,2021-07-01T14:00:00Z,2021-07-01,7,IRONMTN_2_N001,LMP,47.56761
2021-07-02T03:00:00Z,2021-07-02T04:00:00Z,2021-07-01,21,IRONMTN_2_N001,LMP,74.7497
2021-07-02T04:00:00Z,2021-07-02T05:00:00Z,2021-07-01,22,IRONMTN_2_N001,LMP,69.30721
2021-07-02T05:00:00Z,2021-07-02T06:00:00Z,2021-07-01,23,IRONMTN_2_N001,LMP,51.18698
2021-07-01T18:00:00Z,2021-07-01T19:00:00Z,2021-07-01,12,IRONMTN_2_N001,LMP,36.47935
2021-07-02T20:00:00Z,2021-07-02T21:00:00Z,2021-07-02,14,IRONMTN_2_N001,LMP,40.73456
2021-07-03T02:00:00Z,2021-07-03T03:00:00Z,2021-07-02,20,IRONMTN_2_N001,LMP,77.04651
2021-07-03T03:00:00Z,2021-07-03T04:00:00Z,2021-07-02,21,IRONMTN_2_N001,LMP,66.23313
