intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw,hour_ext,hour
2021-03-01T20:00:00Z,2021-03-01T21:00:00Z,2021-03-01,13,IRONMTN_2_N001,LMP,12.55914,20:00:00,21
2021-03-02T00:00:00Z,2021-03-02T01:00:00Z,2021-03-01,17,IRONMTN_2_N001,LMP,33.74538,00:00:00,1
2021-03-01T19:00:00Z,2021-03-01T20:00:00Z,2021-03-01,12,IRONMTN_2_N001,LMP,16.55926,19:00:00,20
2021-03-01T17:00:00Z,2021-03-01T18:00:00Z,2021-03-01,10,IRONMTN_2_N001,LMP,22.03901,17:00:00,18
2021-03-01T15:00:00Z,2021-03-01T16:00:00Z,2021-03-01,8,IRONMTN_2_N001,LMP,34.92092,15:00:00,16
2021-03-01T13:00:00Z,2021-03-01T14:00:00Z,2021-03-01,6,IRONMTN_2_N001,LMP,42.8364,13:00:00,14
2021-03-01T09:00:00Z,2021-03-01T10:00:00Z,2021-03-01,2,IRONMTN_2_N001,LMP,-51.39695,09:00:00,10
2021-03-02T02:00:00Z,2021-03-02T03:00:00Z,2021-03-01,19,IRONMTN_2_N001,LMP,59.60508,02:00:00,3
2021-03-02T01:00:00Z,2021-03-02T02:00:00Z,2021-03-01,18,IRONMTN_2_N001,LMP,50.35216,01:00:00,2
2021-03-01T23:00:00Z,2021-03-02T00:00:00Z,2021-03-01,16,IRONMTN_2_N001,LMP,19.35898,23:00:00,24
2021-03-02T06:00:00Z,2021-03-02T07:00:00Z,2021-03-01,23,IRONMTN_2_N001,LMP,37.78542,06:00:00,7
2021-03-01T12:00:00Z,2021-03-01T13:00:00Z,2021-03-01,5,IRONMTN_2_N001,LMP,37.25271,12:00:00,13
2021-03-01T14:00:00Z,2021-03-01T15:00:00Z,2021-03-01,7,IRONMTN_2_N001,LMP,50.52636,14:00:00,15
2021-03-02T03:00:00Z,2021-03-02T04:00:00Z,2021-03-01,20,IRONMTN_2_N001,LMP,50.81921,03:00:00,4
