intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw,hour_ext,hour
2021-05-02T03:00:00Z,2021-05-02T04:00:00Z,2021-05-01,21,IRONMTN_2_N001,LMP,45.20452,03:00:00,4
2021-05-01T13:00:00Z,2021-05-01T14:00:00Z,2021-05-01,7,IRONMTN_2_N001,LMP,33.10077,13:00:00,14
2021-05-01T10:00:00Z,2021-05-01T11:00:00Z,2021-05-01,4,IRONMTN_2_N001,LMP,30.04488,10:00:00,11
2021-05-01T20:00:00Z,2021-05-01T21:00:00Z,2021-05-01,14,IRONMTN_2_N001,LMP,6.14053,20:00:00,21
2021-05-01T22:00:00Z,2021-05-01T23:00:00Z,2021-05-01,16,IRONMTN_2_N001,LMP,9.26539,22:00:00,23
2021-05-02T06:00:00Z,2021-05-02T07:00:00Z,2021-05-01,24,IRONMTN_2_N001,LMP,32.58218,06:00:00,7
2021-05-02T02:00:00Z,2021-05-02T03:00:00Z,2021-05-01,20,IRONMTN_2_N001,LMP,46.34868,02:00:00,3
2021-05-02T01:00:00Z,2021-05-02T02:00:00Z,2021-05-01,19,IRONMTN_2_N001,LMP,39.15317,01:00:00,2
2021-05-01T14:00:00Z,2021-05-01T15:00:00Z,2021-05-01,8,IRONMTN_2_N001,LMP,26.65232,14:00:00,15
2021-05-01T11:00:00Z,2021-05-01T12:00:00Z,2021-05-01,5,IRONMTN_2_N001,LMP,30.53356,11:00:00,12
2021-05-02T05:00:00Z,2021-05-02T06:00:00Z,2021-05-01,23,IRONMTN_2_N001,LMP,32.19549,05:00:00,6
2021-05-01T21:00:00Z,2021-05-01T22:00:00Z,2021-05-01,15,IRONMTN_2_N001,LMP,8.87335,21:00:00,22
2021-05-01T08:00:00Z,2021-05-01T09:00:00Z,2021-05-01,2,IRONMTN_2_N001,LMP,30.69664,08:00:00,9
2021-05-01T09:00:00Z,2021-05-01T10:00:00Z,2021-05-01,3,IRONMTN_2_N001,LMP,30.01256,09:00:00,10
2021-05-01T07:00:00Z,2021-05-01T08:00:00Z,2021-05-01,1,IRONMTN_2_N001,LMP,30.7154,07:00:00,8
2021-05-01T16:00:00Z,2021-05-01T17:00:00Z,2021-05-01,10,IRONMTN_2_N001,LMP,15.11435,16:00:00,17
