intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw,hour_ext,hour
2021-11-01T07:00:00Z,2021-11-01T08:00:00Z,2021-11-01,1,IRONMTN_2_N001,LMP,53.80617,07:00:00,8
2021-11-02T06:00:00Z,2021-11-02T07:00:00Z,2021-11-01,24,IRONMTN_2_N001,LMP,59.80704,06:00:00,7
2021-11-01T17:00:00Z,2021-11-01T18:00:00Z,2021-11-01,11,IRONMTN_2_N001,LMP,55.61361,17:00:00,18
2021-11-01T21:00:00Z,2021-11-01T22:00:00Z,2021-11-01,15,IRONMTN_2_N001,LMP,60.88,21:00:00,22
2021-11-02T03:00:00Z,2021-11-02T04:00:00Z,2021-11-01,21,IRONMTN_2_N001,LMP,77.05159,03:00:00,4
2021-11-01T12:00:00Z,2021-11-01T13:00:00Z,2021-11-01,6,IRONMTN_2_N001,LMP,62.82693,12:00:00,13
2021-11-02T04:00:00Z,2021-11-02T05:00:00Z,2021-11-01,22,IRONMTN_2_N001,LMP,75.88306,04:00:00,5
2021-11-01T22:00:00Z,2021-11-01T23:00:00Z,2021-11-01,16,IRONMTN_2_N001,LMP,66.88,22:00:00,23
2021-11-02T01:00:00Z,2021-11-02T02:00:00Z,2021-11-01,19,IRONMTN_2_N001,LMP,100.51012,01:00:00,2
2021-11-01T11:00:00Z,2021-11-01T12:00:00Z,2021-11-01,5,IRONMTN_2_N001,LMP,57.87383,11:00:00,12
2021-11-01T18:00:00Z,2021-11-01T19:00:00Z,2021-11-01,12,IRONMTN_2_N001,LMP,53.10831,18:00:00,19
2021-11-01T20:00:00Z,2021-11-01T21:00:00Z,2021-11-01,14,IRONMTN_2_N001,LMP,52.48251,20:00:00,21
2021-11-01T10:00:00Z,2021-11-01T11:00:00Z,2021-11-01,4,IRONMTN_2_N001,LMP,54.83541,10:00:00,11
2021-11-01T13:00:00Z,2021-11-01T14:00:00Z,2021-11-01,7,IRONMTN_2_N001,LMP,77.23518,13:00:00,14
2021-11-01T15:00:00Z,2021-11-01T16:00:00Z,2021-11-01,9,IRONMTN_2_N001,LMP,70.76145,15:00:00,16
