intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw,hour_ext,hour
2021-10-01T11:00:00Z,2021-10-01T12:00:00Z,2021-10-01,5,IRONMTN_2_N001,LMP,53.07824,11:00:00,12
2021-10-01T20:00:00Z,2021-10-01T21:00:00Z,2021-10-01,14,IRONMTN_2_N001,LMP,49.07236,20:00:00,21
2021-10-02T02:00:00Z,2021-10-02T03:00:00Z,2021-10-01,20,IRONMTN_2_N001,LMP,84.45872,02:00:00,3
2021-10-01T08:00:00Z,2021-10-01T09:00:00Z,2021-10-01,2,IRONMTN_2_N001,LMP,53.64029,08:00:00,9
2021-10-01T07:00:00Z,2021-10-01T08:00:00Z,2021-10-01,1,IRONMTN_2_N001,LMP,56.81739,07:00:00,8
2021-10-01T22:00:00Z,2021-10-01T23:00:00Z,2021-10-01,16,IRONMTN_2_N001,LMP,57.01801,22:00:00,23
2021-10-01T19:00:00Z,2021-10-01T20:00:00Z,2021-10-01,13,IRONMTN_2_N001,LMP,46.92632,19:00:00,20
2021-10-01T09:00:00Z,2021-10-01T10:00:00Z,2021-10-01,3,IRONMTN_2_N001,LMP,52.65174,09:00:00,10
2021-10-01T14:00:00Z,2021-10-01T15:00:00Z,2021-10-01,8,IRONMTN_2_N001,LMP,59.833,14:00:00,15
2021-10-01T10:00:00Z,2021-10-01T11:00:00Z,2021-10-01,4,IRONMTN_2_N001,LMP,52.46896,10:00:00,11
2021-10-02T06:00:00Z,2021-10-02T07:00:00Z,2021-10-01,24,IRONMTN_2_N001,LMP,58.59242,06:00:00,7
2021-10-01T18:00:00Z,2021-10-01T19:00:00Z,2021-10-01,12,IRONMTN_2_N001,LMP,42.20268,18:00:00,19
2021-10-02T01:00:00Z,2021-10-02T02:00:00Z,2021-10-01,19,IRONMTN_2_N001,LMP,102.15865,01:00:00,2
2021-10-02T05:00:00Z,2021-10-02T06:00:00Z,2021-10-01,23,IRONMTN_2_N001,LMP,62.87041,05:00:00,6
