intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-09-01T14:00:00Z,2021-09-01T15:00:00Z,2021-09-01,8,IRONMTN_2_N001,LMP,54.71838
2021-09-01T09:00:00Z,2021-09-01T10:00:00Z,2021-09-01,3,IRONMTN_2_N001,LMP,49.04349
2021-09-02T00:00:00Z,2021-09-02T01:00:00Z,2021-09-01,18,IRONMTN_2_N001,LMP,58.2414
2021-09-02T04:00:00Z,2021-09-02T05:00:00Z,2021-09-01,22,IRONMTN_2_N001,LMP,60.71279
2021-09-01T16:00:00Z,2021-09-01T17:00:00Z,2021-09-01,10,IRONMTN_2_N001,LMP,44.38406
2021-09-01T10:00:00Z,2021-09-01T11:00:00Z,2021-09-01,4,IRONMTN_2_N001,LMP,48.45282
2021-09-01T11:00:00Z,2021-09-01T12:00:00Z,2021-09-01,5,IRONMTN_2_N001,LMP,50.37799
2021-09-01T12:00:00Z,2021-09-01T13:00:00Z,2021-09-01,6,IRONMTN_2_N001,LMP,54.46065
2021-09-01T13:00:00Z,2021-09-01T14:00:00Z,2021-09-01,7,IRONMTN_2_N001,LMP,60.14015
2021-09-01T15:00:00Z,2021-09-01T16:00:00Z,2021-09-01,9,IRONMTN_2_N001,LMP,45.08685
2021-09-01T20:00:00Z,2021-09-01T21:00:00Z,2021-09-01,14,IRONMTN_2_N001,LMP,42.29032
2021-09-02T02:00:00Z,2021-09-02T03:00:00Z,2021-09-01,20,IRONMTN_2_N001,LMP,83.36161
2021-09-02T06:00:00Z,2021-09-02T07:00:00Z,2021-09-01,24,IRONMTN_2_N001,LMP,52.62003
2021-09-02T01:00:00Z,2021-09-02T02:00:00Z,2021-09-01,19,IRONMTN_2_N001,LMP,75.23316
2021-09-02T03:00:00Z,2021-09-02T04:00:00Z,2021-09-01,21,IRONMTN_2_N001,LMP,67.33749
2021-09-01T21:00:00Z,2021-09-01T22:00:00Z,2021-09-01,15,IRONMTN_2_N001,LMP,44.44103
2021-09-01T23:00:00Z,2021-09-02T00:00:00Z,2021-09-01,17,IRONMTN_2_N001,LMP,49.39338
2021-09-01T08:00:00Z,2021-09-01T09:00:00Z,2021-09-01,2,IRONMTN_2_N001,LMP,50.48582
2021-09-02T05:00:00Z,2021-09-02T06:00:00Z,2021-09-01,23,IRONMTN_2_N001,LMP,54.8909
2021-09-01T18:00:00Z,2021-09-01T19:00:00Z,2021-09-01,12,IRONMTN_2_N001,LMP,37.41264
2021-09-01T19:00:00Z,2021-09-01T20:00:00Z,2021-09-01,13,IRONMTN_2_N001,LMP,40.01163
2021-09-01T22:00:00Z,2021-09-01T23:00:00Z,2021-09-01,16,IRONMTN_2_N001,LMP,46.94809
2021-09-01T07:00:00Z,2021-09-01T08:00:00Z,2021-09-01,1,IRONMTN_2_N001,LMP,52.08258
2021-09-01T17:00:00Z,2021-09-01T18:00:00Z,2021-09-01,11,IRONMTN_2_N001,LMP,42.19847
2021-09-02T15:00:00Z,2021-09-02T16:00:00Z,2021-09-02,9,IRONMTN_2_N001,LMP,43.08654
2021-09-02T19:00:00Z,2021-09-02T20:00:00Z,2021-09-02,13,IRONMTN_2_N001,LMP,39.93007
2021-09-03T04:00:00Z,2021-09-03T05:00:00Z,2021-09-02,22,IRONMTN_2_N001,LMP,61.46289
2021-09-02T14:00:00Z,2021-09-02T15:00:00Z,2021-09-02,8,IRONMTN_2_N001,LMP,53.53072
2021-09-02T11:00:00Z,2021-09-02T12:00:00Z,2021-09-02,5,IRONMTN_2_N001,LMP,52.06714
2021-09-02T09:00:00Z,2021-09-02T10:00:00Z,2021-09-02,3,IRONMTN_2_N001,LMP,50.25817
2021-09-03T00:00:00Z,2021-09-03T01:00:00Z,2021-09-02,18,IRONMTN_2_N001,LMP,57.54593
2021-09-03T05:00:00Z,2021-09-03T06:00:00Z,2021-09-02,23,IRONMTN_2_N001,LMP,56.21844
2021-09-02T12:00:00Z,2021-09-02T13:00:00Z,2021-09-02,6,IRONMTN_2_N001,LMP,54.63339
